,Investors,Number of Investments
1075, China Minsheng Investment Group,1
1076, Hyde Park Venture Partners,1
1077, Moderne Ventures,1
1078, Base10 Partners,1
1079, Lightspeed India Partners,1
1080, Lone Pine Capital,1
1081, AltaIR Capital,1
1082, Trifecta Capital,1
1083, Elevar Equity,1
1084, VentureLink,1
1085, Evolution Equity Partners,1
1086, LRVHealth,1
1087, IvyCap Ventures,1
1088, SeptWolves Ventures,1
1089, SC.Holdings,1
1090, Promecap,1
1091, Trifecta Capital Advisors,1
1092, Stellaris Venture Partners,1
1093, Merrysunny Wealth,1
1094, 	01 Advisors,1
1095, Moore Strategic Ventures,1
1096, Shanghai Electric Group,1
1097, OGCI Climate Investments,1
1098, Beyond Net Zero,1
1099, Lowercase Capital,1
1100, Spring Ventures,1
1101, Rho Ventures,1
1102, Sherpalo Ventures,1
1103, IDG Capital Partners,1
1104, K2 Ventures,1
1105, Ping An Insurance,1
1106, Wanxin Media,1
1107, Silverlink Capital,1
1108, Pritzker Group Venture Capital,1
1109, Sands Capital,1
1110, Affirma Capital,1
1111, Shenzhen Qianhe Capital Management Co.,1
1112, Haitong Leading Capital Management,1
1113, European Founders Fund,1
1114, CDH Investments,1
1115, JD Capital Management,1
1116, Shang Qi Capital,1
1117, Richland Equities,1
1118, iFLYTEK,1
1119, Galaxy Digital,1
1120, Naspers,1
1121, Mubadala Capital,1
1122, IDInvest Partners,1
1123, Hongxiu VC,1
1124, OpenView Venture Partners,1
1125, EXOR Seeds,1
1126, Costanoa Ventures,1
1127, 8VC,1
1128, Causeway Media Partners,1
1129, Songhyun Investment,1
1130, Unilever Ventures,1
1131, eWTP Capital,1
1132, The Venture Collective,1
1133, Initialized Capital,1
1134, Mobai Capital,1
1135, Tao Capital Partners,1
1136, M12,2
1137, GE Ventures,1
1138, Menlo Ventures,1
1139, Hundreds Capital,1
1140, Origin Ventures,1
1141, Ideal International,1
1142, Ballast Point Ventures,1
1143, NIO Capital,1
1144, BlockTower Capital,1
1145, G Squared,1
1146, KTB Ventures,1
1147, MSA Capital,1
1148, SK Ventures,1
1149, Elaia Partners,1
1150, Bling Capital,1
1151, Johnson & Johnson Innovation,1
1152, Transformation Capital,1
1153, Georgian Partners,2
1154, Pereg Ventures,1
1155, Team8,1
1156, Draper Esprit,1
1157, Peterson Ventures,1
1158, Lupa Systems,1
1159, Adams Street Partners,1
1160, AU21,1
1161, Madera Technology Partners,1
1162, Microsoft,1
1163, SEEK,1
1164, Uncork Capital,1
1165, Hanwha Investment & Securities,1
1166, Point72 Ventures,1
1167, ACE & Company,1
1168, Mayfield,1
1169, Amasia,1
1170, Northzone Ventures,2
1171, Providence Equity Partners,1
1172, Altos Ventures,1
1173, iVision Ventures,1
1174, Omidyar Network,1
1175, Insignia Ventures Partners,1
1176, Vertex Ventures SE Asia,1
1177, Tru Arrow Partners,1
1178, GMO VenturePartners,1
1179, Straumann,1
1180, Eclipse Ventures,1
1181, FreesFund,1
1182, Hearst Ventures,1
1183, Redalpine Venture Partners,1
1184, Korea Investment Partners,1
1185, Norma Investments,1
1186, Meituan Dianping,1
1187, Victory Park Capital,1
1188, NJF Capital,1
1189, Navitas Capital,1
1190, Ten Eleven Ventures,2
1191, TDM Growth Partners,1
1192, Breakthrough Energy Ventures,1
1193, 83North,1
1194, CyberStarts,1
1195, Alpha JWC Ventures,1
1196, TA Associates,1
1197, First Ascent Ventures,1
1198, Array Ventures,1
1199, Endiya Partners,1
1200, Endeavor,1
1201, Dragonfly Capital Partners,1
1202, Polychain Capital,1
1203, Hanaco Ventures,1
1204, STRIVE,1
1205, Baleen Capital,1
1206, Eden Global Partners,1
1207, Tola Capital,1
1208, Shasta Ventures,1
1209, I Squared Capital,1
1210, Vista Equity Partners,1
1211, Harmonic Growth Partners,1
1212, NEC,1
1213, Coparion,1
1214, Buckley Ventures,1
1215, Verdane Capital,1
1216, Cisco Investments,2
1217, MoreVC,1
1218, WestBridge Capital,1
1219, Hyde Park Angels,1
1220, Gaingels,1
