,Investors,Number of Investments
250,GSR Ventures,1
251,Cherry Ventures,2
252,Dragonfly Capital,1
253,L Capital Partners,1
254,RRE Ventures,1
255,Zheshang Venture Capital,1
256,Toyota Motor Corporation,1
257,Pitango Venture Capital,1
258,Qiming Venture Partners,6
259,Magma Venture Partners,1
260,Bertelsmann Asia Investments,2
261,Viola Ventures,2
262,Matrix Partners China,5
263,Jerusalem Venture Partners,1
264,Tiantu Capital,2
265,Highland Capital Partners,2
266,Tomales Bay Capital,1
267,Meritech Capital Partners,1
268,next47,2
269,Undisclosed,2
270,Alta Ventures Mexico,1
271,A&NN,1
272,Ignition Partners,1
273,Japan Post Capital,1
274,Rethink Impact,1
275,Northern Light Venture Capital,1
276,Obvious Ventures,2
277,Northzone Ventures,2
278,K9 Ventures,1
279,Gauss Ventures,1
280,ClalTech,1
281,Breega Capital,1
282,DCM Ventures,1
283,SEED Capital,1
284,Betaworks Ventures,1
285,Porsche,1
286,Volcanics Ventures,1
287,Black Pearl Ventures,1
288,Trustbridge Partners,2
289,Square Peg Capital,1
290,FirstMark Capital,5
291,K2VC,1
292,e.ventures,1
293,btov Partners,1
294,Automobile Industry Guidance Fund,1
295,The Carlyle Group,2
296,Fashion Tech Lab,1
297,SOSV,1
298,Gunosy Capital,1
299,Future Ventures,1
300,Jiangsu Sha Steel Group,1
301,Blumberg Capital,1
302,YL Ventures,1
303,Viking Global Investors,2
304,Tao Capital Partners,1
305,Alta Partners,2
306,PBM Capital Group,1
307,Liberty Global Ventures,1
308,Altitude Life Science Ventures,1
309,Stripe,1
310,Eurazeo,1
311,DataTribe,1
312,Crosslink Capital,3
313,Gobi Partners,1
314,Paradigm,2
315,Boxin Capital,1
316,Alpha Wave Global,1
317,Cybernaut Growth Fund,1
318,Yabeo Capital,1
319,TPG Growth,1
320,GAM Holding,1
321,People Electrical Appliance Group China,1
322,OMERS Private Equity,1
323,Blackbird Ventures,1
324,GreatPoint Ventures,2
325,Altitude Life Science Ventures. T. Rowe Price,1
326,March Capital Partners,2
327,BEENEXT,1
328,QED Investors,2
329,Craft Ventures,3
330,IFC,1
331,Moderne Ventures,1
332,Guozhong Venture Capital Management,1
333,Centurium Capital,1
334,CE-Ventures,1
335,China Creation Ventures,1
336,Clocktower Technology Ventures,1
337,MPM Capital,1
338,Volkswagen,1
339,Legend Capital,1
340,Source Code Capital,4
341,Max Ventures,1
342,Rubicon Technology Partners,1
343,Moonshots Capital,1
344,Deciens Capital,1
345,Digital Currency Group,1
346,Amiti Ventures,1
347,Felicis Ventures,1
348,VGames,1
349,Scale Venture Partners,2
350,Ant Group,2
351,Spark Capital,3
352,Nyca Partners,1
353,Accomplice,3
354,PSG,1
355,Fifty Years Fund,1
356,Redpoint e.ventures,1
357,Brighton Park Capital,1
358,Samsung Ventures,1
359,L Catterton,2
360,Kalaari Capital,1
361,Amplify Partners,1
362,Sodexo Ventures,1
363,DeFi Technologies,1
364,BMW i Ventures,1
365,Global Emerging Markets,1
366,Eastern Bell Capital,3
367,BoxGroup,1
368,Marathon Venture Partners,1
369,Baidu,1
370,Ding Xiang Capital,1
371,Taigang Venture Capital,1
372,Left Lane Capital,3
373,Slow Ventures,1
374,Kickstart Fund,1
375,Bonfire Ventures,1
376,Newion Partners,1
377,TLV Partners,2
378,BNP Paribas,1
379,Phoenix New Media,1
380,Seaya Ventures,1
381,Durable Capital Partners,1
382,Helion Venture Partners,2
383,Signal Peak Ventures,1
384,Refactor Capital,1
385,Simon Equity Partners,1
386,Innovation Endeavors,2
387,Propel Venture Partners,1
388,DESUN Capital,1
389,Green Pine Capital Partners,1
390,Marchmont Ventures,1
391,Atinum Investment,1
392,Advantech Capital,1
393,SC.Holdings,1
394,ARCH Venture Partners,1
395,BlueCross BlueShield Venture Partners,1
396,Bertelsmann India Investments,1
397,York Capital Management,1
398,N5 Capital,1
399,SignalFire,1
400,LocalGlobe,2
401,Chromo Invest,1
402,UNITY VENTURES,1
403,AirTree Ventures,1
404,Dynamo VC,1
405,Mitsubishi Corporation,1
406,Dark Horse Technology Group,1
407,Javelin Venture Partners,2
408,Dila Capital,1
409,Castle Island Ventures,1
410,G Squared,1
411,TSG Consumer Partners,1
412,Nextech Invest,1
413,Trane Technologies,1
414,Leta Capital,1
415,Cool Japan Fund,1
416,Wamda Capital,1
417,CreditEase Fintech Investment Fund,1
418,ICG,1
419,SWaN & Legend Ventures,1
420,IA Ventures,1
421,Version One Ventures,2
422,Flagship Pioneering,1
423,Costanoa Ventures,1
424,Partech Partners,1
